nodeid,lat,long
270,40.6867,-73.9546
271,40.6717,-73.9576
272,40.7568,-73.989
273,40.7729,-73.956
274,40.7032,-74.0092
275,40.7517,-73.9765
276,40.7596,-73.9918
277,40.8895,-73.9097
278,40.7522,-73.978
279,40.7415,-73.9857
280,40.7741,-73.8745
281,40.6254,-73.9874
282,40.7579,-73.9748
283,40.6644,-73.7922
284,40.724,-73.9974
285,40.732,-73.9945
286,40.7422,-73.9746
287,40.8014,-73.9421
288,40.7389,-73.9895
289,40.7708,-73.9297
290,40.779,-73.9581
291,40.8055,-73.9675
292,40.7582,-73.9895
293,40.8343,-73.9401
294,40.7608,-73.9872
295,40.7698,-73.9841
296,40.7496,-74.0029
297,40.7571,-73.9671
298,40.8031,-73.9677
299,40.7433,-74.0066
300,40.7654,-73.9638
301,40.7481,-73.9929
302,40.6936,-73.983
303,40.6907,-73.9959
304,40.6446,-73.7816
305,40.7685,-73.862
306,40.7813,-73.9607
307,40.7309,-73.9931
308,40.7826,-73.9805
309,40.7668,-73.9866
310,40.7633,-73.9722
311,40.7724,-73.9786
312,40.7641,-73.9542
313,40.7704,-73.962
314,40.7597,-73.9877
315,40.7271,-73.9999
316,40.7568,-73.9737
317,40.7583,-74.0006
318,40.7783,-73.9454
319,40.7725,-73.957
320,40.7585,-73.9659
321,40.7524,-73.9753
322,40.7385,-73.9807
323,40.7161,-74.0152
324,40.7605,-73.9855
325,40.7687,-73.9553
326,40.7736,-73.9487
327,40.7363,-74.0033
328,40.7401,-74.0055
329,40.7725,-73.9628
330,40.7648,-73.9686
331,40.7693,-73.9555
332,40.7261,-73.9918
333,40.7366,-73.9908
334,40.7589,-73.9723
335,40.7576,-73.9757
336,40.7271,-73.9843
337,40.7743,-73.8727
338,40.7592,-73.9723
339,40.7735,-73.9517
340,40.7453,-73.9912
341,40.7306,-73.9925
342,40.7519,-73.9809
343,40.6488,-73.7826
344,40.7261,-74.0027
345,40.7308,-73.9956
346,40.7292,-74.0053
347,40.7374,-74.005
348,40.7401,-73.9864
349,40.756,-73.9773
350,40.7629,-73.9656
351,40.7717,-73.9592
352,40.647,-73.7861
353,40.743,-73.9811
354,40.7511,-73.9905
355,40.7394,-73.9824
356,40.7274,-74.0071
357,40.7873,-73.9715
358,40.7116,-74.0159
359,40.7514,-73.9765
360,40.7623,-73.9868
361,40.7656,-73.9947
362,40.7258,-73.9777
363,40.7508,-73.8703
364,40.7432,-73.9798
365,40.7772,-73.982
366,40.723,-73.9977
367,40.7265,-74.0023
368,40.7395,-73.9955
369,40.7681,-73.9563
370,40.7566,-73.9719
371,40.7166,-74.0132
372,40.7721,-73.9467
373,40.7829,-73.9574
374,40.7625,-73.9859
375,40.7283,-73.988
376,40.7317,-73.9891
377,40.762,-73.9785
378,40.7866,-73.9721
379,40.7765,-73.9765
380,40.7792,-73.9484
381,40.7733,-73.9549
382,40.7901,-73.9427
383,40.7648,-73.9538
384,40.7421,-73.9851
385,40.7472,-73.9809
386,40.7384,-73.9898
387,40.7648,-73.9763
388,40.7579,-74.0006
389,40.7588,-73.9862
390,40.8002,-73.9694
391,40.7904,-73.9733
392,40.7405,-74.0019
393,40.7112,-74.0089
394,40.7533,-73.9888
395,40.7639,-73.9545
396,40.7225,-73.9861
397,40.7631,-73.9091
398,40.7439,-73.9818
399,40.7299,-73.9932
400,40.7625,-73.982
401,40.7487,-73.9921
402,40.7485,-74.0074
403,40.7767,-73.9865
404,40.7727,-73.9814
405,40.7618,-73.9946
406,40.7708,-73.8646
407,40.7855,-73.9728
408,40.7658,-73.9764
409,40.8169,-73.9416
410,40.7909,-73.969
411,40.7656,-73.9588
412,40.7983,-73.9347
413,40.7736,-73.9835
414,40.7617,-73.9901
415,40.7491,-73.9779
416,40.7305,-74.0018
417,40.7218,-73.8361
418,40.7724,-73.9494
419,40.7639,-73.9539
420,40.7683,-73.9818
421,40.7823,-73.972
422,40.7578,-73.9853
423,40.7925,-73.9679
424,40.7567,-73.9901
425,40.644,-73.7828
426,40.7518,-73.9899
427,40.7513,-73.9739
428,40.7406,-73.9899
429,40.7901,-73.9734
430,40.7336,-73.9912
431,40.7272,-73.992
432,40.7256,-73.9951
433,40.7567,-73.9899
434,40.792,-73.9677
435,40.7864,-73.972
436,40.7811,-73.9798
437,40.782,-73.9757
438,40.7159,-74.0085
439,40.6935,-73.9709
440,40.7218,-73.9998
441,40.7421,-73.9893
442,40.7712,-73.9613
443,40.7874,-73.9742
444,40.7451,-73.9986
445,40.7414,-73.9892
446,40.7695,-73.9579
447,40.7436,-73.9245
448,40.7539,-73.9771
449,40.7385,-73.9904
450,40.7277,-73.9933
451,40.7745,-73.9512
452,40.7743,-73.9595
453,40.7773,-73.9442
454,40.7354,-73.9916
455,40.7896,-73.97
456,40.7565,-73.9704
457,40.7445,-73.9566
458,40.7383,-73.9807
459,40.7218,-73.9874
460,40.7394,-74.0017
461,40.7378,-74.0057
462,40.7385,-73.9876
463,40.7789,-73.9853
464,40.7031,-73.9461
465,40.6985,-73.9251
466,40.7285,-73.9876
467,40.7069,-74.0069
468,40.7705,-73.9601
469,40.7893,-73.9527
470,40.716,-74.0134
471,40.7419,-73.9809
472,40.7501,-73.9793
473,40.7652,-73.9878
474,40.735,-73.9986
475,40.7445,-73.9789
476,40.7705,-73.9875
477,40.7778,-73.9458
478,40.802,-73.9496
479,40.8078,-73.9639
480,40.7528,-73.9888
481,40.7067,-73.9232
482,40.7458,-74.0055
483,40.7934,-73.9411
484,40.7467,-73.9839
485,40.7857,-73.9762
486,40.7296,-73.981
487,40.7291,-73.9903
488,40.7528,-73.9846
489,40.7744,-73.9128
490,40.7557,-73.9912
491,40.7786,-73.9754
492,40.7421,-73.9834
493,40.7326,-73.9798
494,40.7749,-73.9539
495,40.7451,-73.9783
496,40.7366,-73.9788
497,40.7421,-73.985
498,40.7705,-73.96
499,40.7344,-73.9834
500,40.7644,-73.9871
501,40.7942,-73.9429
502,40.7603,-73.9716
503,40.7721,-73.9791
504,40.7584,-73.9843
505,40.7329,-74.0072
506,40.7691,-73.8628
507,40.7503,-73.9739
508,40.77,-73.9545
509,40.7525,-73.965
510,40.7692,-73.983
511,40.7565,-73.9745
512,40.7782,-73.9783
513,40.7961,-73.9692
514,40.7704,-73.9874
515,40.7786,-73.9885
516,40.7866,-73.9788
517,40.8484,-73.9239
518,40.6804,-73.9482
519,40.6697,-73.958
520,40.7736,-73.8706
521,40.7556,-73.9739
522,40.6487,-73.7834
523,40.6567,-73.9565
524,40.759,-73.9805
525,40.7836,-73.9835
526,40.7321,-73.985
527,40.7132,-73.9584
528,40.7712,-73.9567
529,40.7642,-73.9668
530,40.7482,-74.0052
531,40.7519,-73.9928
532,40.7304,-73.9892
533,40.7487,-73.976
534,40.6486,-73.783
535,40.7243,-73.8468
536,40.7605,-73.9762
537,40.7722,-73.9856
538,40.7741,-73.9811
539,40.7566,-73.9981
540,40.773,-73.9584
541,40.7896,-73.9736
542,40.7437,-73.9837
543,40.6759,-73.9635
544,40.7028,-74.0116
545,40.738,-73.9734
546,40.8509,-73.9354
547,40.859,-73.9307
548,40.7831,-73.9478
549,40.7794,-73.9552
550,40.6417,-73.7882
551,40.7621,-73.9121
552,40.7633,-73.9813
553,40.7499,-73.9916
554,40.7775,-73.9594
555,40.7592,-73.9725
556,40.7417,-73.9895
557,40.7562,-73.9892
558,40.7506,-73.9869
559,40.7551,-73.98
560,40.7304,-73.9976
561,40.7536,-73.9867
562,40.7133,-74.012
563,40.7412,-74.006
564,40.7302,-73.989
565,40.7974,-73.9725
566,40.6961,-73.9884
567,40.6896,-73.9878
568,40.7313,-73.9741
569,40.7293,-73.9932
570,40.6929,-73.9887
571,40.6276,-74.0211
572,40.7687,-73.9874
573,40.7713,-73.9821
574,40.7795,-73.9558
575,40.7684,-73.9848
576,40.7584,-73.97
577,40.7435,-73.9226
578,40.7535,-73.9789
579,40.7788,-73.948
580,40.7602,-73.9663
581,40.7482,-73.9735
582,40.7472,-73.9935
583,40.7568,-73.9898
584,40.7928,-73.9734
585,40.7853,-73.9772
586,40.7453,-73.9869
587,40.7249,-73.9783
588,40.7225,-73.9971
589,40.759,-73.9816
590,40.7471,-74.003
591,40.7326,-73.996
592,40.7527,-73.9766
593,40.7617,-73.975
594,40.7047,-74.0097
595,40.7451,-74.0024
596,40.7159,-74.0047
597,40.7275,-74.0033
598,40.7641,-73.9759
599,40.7092,-74.0053
600,40.7588,-73.9724
601,40.7716,-73.9593
602,40.6448,-73.7818
603,40.7427,-74.0077
604,40.7515,-73.9904
605,40.756,-73.9739
606,40.7051,-74.0079
607,40.7566,-73.9641
608,40.671,-73.9881
609,40.6768,-73.9464
610,40.7605,-73.9849
611,40.7727,-73.9559
612,40.7677,-73.9818
613,40.7766,-73.983
614,40.7565,-73.9938
615,40.7673,-73.9826
616,40.7122,-74.008
617,40.7796,-73.9557
618,40.7637,-73.9857
619,40.7517,-73.9775
620,40.7835,-73.9788
621,40.7754,-73.9856
622,40.8106,-73.9528
623,40.7983,-73.9525
624,40.7991,-73.9364
625,40.8026,-73.9494
626,40.7601,-73.9966
627,40.7338,-74.0026
628,40.7647,-73.9551
629,40.7573,-73.9715
630,40.7611,-73.9869
631,40.7849,-73.9771
632,40.7298,-74.004
633,40.7599,-73.9961
634,40.773,-73.9553
635,40.7436,-73.9878
636,40.716,-74.015
637,40.7414,-73.9876
638,40.777,-73.9822
639,40.7732,-73.9601
640,40.7242,-73.9495
641,40.7273,-73.9937
642,40.7885,-73.9408
643,40.8536,-73.907
644,40.7755,-73.9823
645,40.7714,-73.9678
646,40.7209,-73.9976
647,40.7134,-74.0108
648,40.7707,-73.8652
649,40.781,-73.9543
650,40.6949,-73.9838
651,40.7164,-73.9963
652,40.7679,-73.9817
653,40.782,-73.9795
654,40.7569,-73.9637
655,40.7566,-73.9296
656,40.7575,-73.9754
657,40.7856,-73.9699
658,40.6438,-73.7903
659,40.7759,-73.9527
660,40.7707,-73.8653
661,40.7132,-73.993
662,40.7391,-73.9801
663,40.7304,-73.9806
664,40.7603,-74.0029
665,40.7412,-74.0051
666,40.783,-73.9481
667,40.7716,-73.9472
668,40.727,-73.9837
669,40.7495,-73.9923
670,40.7276,-74.0072
671,40.7559,-73.9907
672,40.7797,-73.9617
673,40.7484,-73.9921
674,40.7347,-73.9907
675,40.7395,-73.9763
676,40.7323,-73.9987
677,40.8029,-73.9635
678,40.8071,-73.9586
679,40.7662,-73.9388
680,40.7671,-73.9622
681,40.7488,-73.9923
682,40.7404,-73.9955
683,40.7616,-73.9604
684,40.7743,-73.8714
685,40.763,-73.9822
686,40.7503,-73.9911
687,40.75,-73.9911
688,40.7461,-74.0005
689,40.7427,-73.9806
690,40.7232,-74.007
691,40.7442,-73.9733
692,40.7526,-73.9688
693,40.753,-74.0039
694,40.7291,-73.9854
695,40.7668,-73.9714
696,40.7842,-73.9701
697,40.76,-73.9646
698,40.7505,-73.9714
699,40.8058,-73.9657
700,40.7208,-73.8388
701,40.7412,-73.993
702,40.7938,-73.9718
703,40.7734,-73.9644
704,40.7761,-73.9621
705,40.7555,-73.9693
706,40.796,-73.9356
707,40.7593,-73.9958
708,40.7622,-73.99
709,40.7363,-73.9551
710,40.7012,-73.9426
711,40.7623,-73.983
712,40.7714,-73.9895
713,40.7369,-74.0065
714,40.7531,-73.9789
715,40.7435,-73.984
716,40.7635,-73.9787
717,40.71,-73.9624
718,40.6924,-73.9122
719,40.7318,-73.9836
720,40.7348,-73.9835
721,40.7385,-73.9995
722,40.731,-73.9797
723,40.7774,-73.957
724,40.7677,-73.9638
725,40.7445,-73.9919
726,40.7571,-73.9867
727,40.7175,-73.9911
728,40.7686,-73.9699
729,40.7499,-73.9914
730,40.7371,-73.985
731,40.7661,-73.9543
732,40.7586,-73.9687
733,40.7781,-73.9822
734,40.7713,-73.98
735,40.7693,-73.952
736,40.7576,-73.9853
737,40.7737,-73.9577
738,40.8019,-73.9392
739,40.7135,-74.0119
740,40.7257,-73.992
741,40.7522,-73.9787
742,40.7533,-73.9696
743,40.7832,-73.9746
744,40.7091,-74.0115
745,40.7501,-73.9731
746,40.7563,-73.986
747,40.7512,-73.9869
748,40.7627,-73.9629
749,40.7575,-73.9764
750,40.7142,-74.0033
751,40.7287,-73.9924
752,40.761,-73.9835
753,40.7248,-74.006
754,40.759,-73.9884
755,40.7888,-73.946
756,40.7346,-74.0022
757,40.7492,-73.9922
758,40.7482,-73.9881
759,40.723,-73.9987
760,40.7864,-73.9757
761,40.7279,-74.0039
762,40.7638,-73.9736
763,40.7806,-73.959
764,40.7224,-73.9888
765,40.7682,-73.8615
766,40.7737,-73.8711
767,40.7796,-73.9837
768,40.7234,-74.008
769,40.7669,-73.9841
770,40.7444,-73.9761
771,40.7224,-73.9872
772,40.7867,-73.978
773,40.7914,-73.9524
774,40.7231,-74.0025
775,40.7645,-73.9772
776,40.7393,-73.9919
777,40.7639,-73.9922
778,40.7549,-73.9839
779,40.759,-73.9878
780,40.7385,-73.9854
781,40.7185,-73.9637
782,40.7325,-73.9876
783,40.7643,-73.9644
784,40.735,-73.989
785,40.7292,-73.9974
786,40.7247,-73.9949
787,40.7404,-73.9893
788,40.6449,-73.7813
789,40.9106,-73.7835
790,40.7598,-73.9872
791,40.6468,-73.7812
792,40.7547,-73.9932
793,40.7073,-74.0119
794,40.7221,-73.95
795,40.7257,-73.9447
796,40.7805,-73.9443
797,40.7748,-73.9825
798,40.7184,-74.0052
799,40.7505,-73.9877
800,40.7509,-73.9907
801,40.7591,-73.9812
802,40.7725,-73.982
803,40.7933,-73.9673
804,40.7289,-73.9922
805,40.7433,-73.9978
806,40.6454,-73.7769
807,40.7652,-73.9672
808,40.7418,-73.9935
809,40.7549,-73.9973
810,40.7934,-73.95
811,40.784,-73.9739
812,40.7393,-73.9938
813,40.764,-73.9557
814,40.7779,-73.9494
815,40.7572,-73.9826
816,40.735,-73.9905
817,40.7517,-74.0039
818,40.7608,-73.9611
819,40.7856,-73.95
820,40.7585,-73.9781
821,40.7651,-73.979
822,40.7581,-73.9892
823,40.7826,-73.9569
824,40.7601,-73.9701
825,40.726,-73.9774
826,40.6475,-73.7887
827,40.6673,-73.7984
828,40.744,-74.0066
829,40.7437,-73.9838
830,40.7919,-73.9465
831,40.7687,-73.9585
832,40.7743,-73.981
833,40.711,-74.0151
834,40.6745,-73.9757
835,40.6972,-73.9327
836,40.755,-73.9689
837,40.7508,-73.9801
838,40.7132,-74.0141
839,40.7053,-74.0164
840,40.7635,-73.9593
841,40.7291,-74.0001
842,40.7688,-73.8628
843,40.7461,-73.988
844,40.7066,-74.0049
845,40.7287,-73.9895
846,40.7174,-73.9572
847,40.7737,-73.9456
848,40.8044,-73.9393
849,40.742,-74.0047
850,40.7505,-73.983
851,40.7502,-73.9834
852,40.7352,-73.9827
853,40.7218,-73.9945
854,40.6844,-73.9213
855,40.7471,-73.9967
856,40.7229,-74.0111
857,40.7279,-73.9993
858,40.7576,-73.9845
859,40.7145,-73.9996
860,40.7431,-73.9517
861,40.7145,-74.0147
862,40.7431,-73.9722
863,40.7613,-73.9638
864,40.7571,-73.9672
865,40.7614,-73.9687
866,40.7282,-73.9929
867,40.7339,-73.9994
868,40.7077,-74.0087
869,40.7681,-73.9681
870,40.808,-73.9294
871,40.7286,-74.0051
872,40.7393,-73.9822
873,40.7569,-73.9836
874,40.7345,-73.9903
875,40.7623,-73.9661
876,40.7953,-73.9358
877,40.7707,-73.9905
878,40.7594,-73.9756
879,40.7592,-73.9765
880,40.7341,-73.9948
881,40.7394,-73.878
882,40.8248,-73.9514
883,40.7361,-74.0015
884,40.7494,-73.984
885,40.7304,-74.0002
886,40.7545,-73.9919
887,40.8036,-73.9674
888,40.7924,-73.9661
889,40.7272,-73.994
890,40.7716,-73.9826
891,40.7599,-73.9785
892,40.756,-73.9727
893,40.7386,-73.9813
894,40.7182,-73.9751
895,40.8056,-73.962
896,40.7593,-73.9746
897,40.7239,-73.992
898,40.7856,-73.9501
899,40.7673,-73.9624
900,40.7731,-73.9545
901,40.7506,-73.9984
902,40.7221,-74.0049
903,40.7578,-73.9786
904,40.7582,-73.9861
905,40.7942,-73.9632
906,40.7625,-73.985
907,40.7514,-73.9824
908,40.7403,-74.006
909,40.7763,-73.9602
910,40.7397,-74.0005
911,40.7717,-73.959
912,40.7609,-73.9695
913,40.7597,-73.9679
914,40.7751,-73.9477
915,40.7436,-73.9838
916,40.7844,-73.9774
917,40.7785,-73.9814
918,40.76,-73.9904
919,40.7433,-73.9178
920,40.7516,-74.0016
921,40.7587,-73.9853
922,40.7541,-73.992
923,40.763,-73.9627
924,40.7448,-73.9991
925,40.7447,-73.9328
926,40.7498,-73.9946
927,40.7598,-73.9853
928,40.7165,-74.0168
929,40.7394,-74.0067
930,40.7299,-74.0008
931,40.6875,-73.8334
932,40.752,-73.9935
933,40.7595,-73.9887
934,40.7637,-73.9733
935,40.7503,-73.9988
936,40.7765,-73.9623
937,40.774,-73.966
938,40.7484,-73.9884
939,40.7165,-74.0079
940,40.7571,-73.9719
941,40.745,-73.9807
942,40.7229,-73.9949
943,40.7045,-74.0059
944,40.7594,-73.9949
945,40.742,-73.9747
946,40.7511,-74.0044
947,40.6901,-73.9703
948,40.7869,-73.9544
949,40.7868,-73.9683
950,40.75,-73.9749
951,40.7764,-73.9877
952,40.7271,-73.9913
953,40.7646,-73.9958
954,40.7796,-73.9736
955,40.726,-74.0093
956,40.7934,-73.9706
957,40.8087,-73.9579
958,40.7689,-73.9695
959,40.7775,-73.9784
960,40.7469,-73.9851
961,40.7342,-73.978
962,40.7181,-74.007
963,40.7234,-74.005
964,40.7561,-73.9762
965,40.7796,-73.9577
966,40.7785,-73.9549
967,40.765,-73.9767
968,40.7427,-73.9965
969,40.7751,-73.9852
970,40.7078,-73.9398
971,40.7155,-73.9907
972,40.746,-73.978
973,40.7568,-73.9639
974,40.7867,-73.9756
975,40.7954,-73.9638
976,40.7356,-74.0068
977,40.7515,-73.9785
978,40.7263,-73.9919
979,40.695,-73.9832
980,40.7181,-73.9596
981,40.7205,-73.9571
982,40.751,-73.9827
983,40.6832,-73.9937
984,40.7272,-73.9885
985,40.707,-74.0122
986,40.7636,-73.9777
987,40.7682,-73.9822
988,40.7345,-73.9834
989,40.7357,-74.0005
990,40.7479,-73.9932
991,40.7334,-74.0029
992,40.767,-73.9535
993,40.7077,-74.0169
994,40.764,-73.9725
995,40.7554,-73.9701
996,40.7226,-74.0014
997,40.7558,-73.9706
998,40.7623,-73.9862
999,40.755,-73.9691
1000,40.7505,-74.0023
1001,40.7342,-73.9863
1002,40.7281,-73.991
1003,40.7424,-73.997
1004,40.7743,-73.9543
1005,40.7384,-73.9999
1006,40.7479,-74.0007
1007,40.7345,-73.9987
1008,40.7308,-74.0008
1009,40.7388,-73.9835
1010,40.725,-73.9947
1011,40.7629,-73.975
1012,40.7788,-73.9537
1013,40.7736,-73.8705
1014,40.8286,-73.931
1015,40.7333,-74.0025
1016,40.7422,-73.9951
1017,40.7769,-73.9525
1018,40.7701,-73.9611
1019,40.7538,-73.979
1020,40.7732,-73.9516
1021,40.7603,-73.9713
1022,40.7969,-73.9608
1023,40.7641,-73.9921
1024,40.7818,-73.9829
1025,40.7439,-73.9878
1026,40.7334,-74.0048
1027,40.7483,-73.9851
1028,40.7341,-73.9988
1029,40.7358,-74.0006
1030,40.7118,-73.952
1031,40.7302,-74.0069
1032,40.7616,-73.9709
1033,40.7671,-73.9841
1034,40.7757,-73.9194
1035,40.7762,-73.9501
1036,40.849,-73.9374
1037,40.763,-73.9824
1038,40.7451,-74.0022
1039,40.707,-74.0044
1040,40.7555,-73.9718
1041,40.7627,-73.9671
1042,40.7576,-73.9859
1043,40.8009,-73.9666
1044,40.7633,-73.9963
1045,40.7128,-73.9657
1046,40.7146,-73.9578
1047,40.7644,-73.9771
1048,40.7716,-73.9634
1049,40.7607,-73.9716
1050,40.7773,-73.9592
1051,40.757,-73.9718
1052,40.7791,-73.9605
1053,40.7743,-73.9593
1054,40.7912,-73.9696
1055,40.7475,-73.9791
1056,40.7426,-74.0037
1057,40.7796,-73.9596
1058,40.7614,-73.9637
1059,40.7638,-73.9784
1060,40.7784,-73.982
1061,40.7676,-73.9685
1062,40.7779,-73.9598
1063,40.7151,-74.0019
1064,40.7053,-74.007
1065,40.7447,-73.9953
1066,40.74,-74.0072
1067,40.7635,-73.9669
1068,40.7507,-73.9901
1069,40.7753,-73.9653
1070,40.7381,-73.9964
1071,40.772,-73.9903
1072,40.7625,-73.9743
1073,40.7637,-73.9854
1074,40.7637,-73.9152
1075,40.7078,-73.9399
1076,40.6791,-73.952
1077,40.7659,-73.9634
1078,40.7873,-73.9519
1079,40.7588,-73.9626
1080,40.7738,-73.9558
1081,40.7379,-73.9984
1082,40.7347,-74.0061
1083,40.7554,-73.9818
1084,40.647,-73.7898
